"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20230101 ~ 20230415"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"서울특별시 강남구 개포동","185","0185","0000","개포주공6단지","83.21","202301","13","230,000","10","1983","개포로 516","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","185","0185","0000","개포주공6단지","83.21","202302","1","250,000","13","1983","개포로 516","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","185","0185","0000","개포주공7단지","83.7","202301","3","200,000","10","1983","개포로 516","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","185","0185","0000","개포주공7단지","83.7","202301","15","245,000","8","1983","개포로 516","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","649","0649","0000","경남1","166.48","202301","2","290,000","8","1984","언주로 110","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","649","0649","0000","경남2차","91.91","202302","3","220,000","7","1984","언주로 110","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","138","0138","0000","디에이치아너힐즈","59.7479","202301","7","186,500","10","2019","삼성로 11","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","138","0138","0000","디에이치아너힐즈","84.3558","202302","2","250,000","4","2019","삼성로 11","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","138","0138","0000","디에이치아너힐즈","76.1709","202302","6","240,000","18","2019","삼성로 11","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","49.909","202301","2","129,000","10","2019","선릉로 8","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","59.897","202301","12","167,400","5","2019","선릉로 8","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","59.967","202301","14","171,000","19","2019","선릉로 8","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","59.967","202301","18","177,000","12","2019","선릉로 8","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","59.967","202301","28","174,000","6","2019","선릉로 8","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","84.943","202302","4","242,000","10","2019","선릉로 8","","중개거래","서울 강남구, 서울 마포구"
"서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","84.94","202302","4","250,000","27","2019","선릉로 8","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","59.967","202302","11","173,000","3","2019","선릉로 8","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","84.94","202302","13","252,000","24","2019","선릉로 8","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","49.909","202302","15","147,000","6","2019","선릉로 8","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","99.991","202302","16","315,000","27","2019","선릉로 8","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","84.943","202302","18","240,000","5","2019","선릉로 8","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","59.967","202302","19","179,000","7","2019","선릉로 8","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","84.95","202302","27","247,000","20","2019","선릉로 8","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","59.888","202303","1","170,000","6","2019","선릉로 8","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","59.967","202303","4","180,000","19","2019","선릉로 8","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","59.967","202303","11","170,000","1","2019","선릉로 8","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","59.967","202303","11","183,000","12","2019","선릉로 8","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","59.888","202303","17","174,000","3","2019","선릉로 8","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","삼익대청아파트","39.53","202301","6","94,000","6","1992","개포로109길 21","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","삼익대청아파트","60","202301","14","133,000","14","1992","개포로109길 21","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","삼익대청아파트","39.53","202301","17","97,000","8","1992","개포로109길 21","","중개거래","서울 강남구, 서울 종로구"
"서울특별시 강남구 개포동","12","0012","0000","삼익대청아파트","39.53","202302","14","94,000","1","1992","개포로109길 21","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","삼익대청아파트","60","202302","17","140,000","7","1992","개포로109길 21","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","삼익대청아파트","60","202302","25","140,000","3","1992","개포로109길 21","","중개거래","서울 강남구, 서울 서초구"
"서울특별시 강남구 개포동","12","0012","0000","삼익대청아파트","39.53","202303","4","102,500","3","1992","개포로109길 21","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","삼익대청아파트","51.12","202303","4","122,000","12","1992","개포로109길 21","20230306","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","삼익대청아파트","39.53","202303","11","100,000","1","1992","개포로109길 21","","중개거래","서울 강남구, 서울 송파구"
"서울특별시 강남구 개포동","12","0012","0000","삼익대청아파트","51.12","202303","11","122,000","11","1992","개포로109길 21","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","삼익대청아파트","39.53","202303","11","100,000","1","1992","개포로109길 21","20230329","중개거래","서울 강남구, 서울 송파구"
"서울특별시 강남구 개포동","12","0012","0000","삼익대청아파트","60","202303","22","142,000","13","1992","개포로109길 21","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202301","2","81,700","2","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202301","3","83,000","14","1992","개포로109길 9","","중개거래","서울 강남구, 서울 종로구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","39.53","202301","11","92,500","8","1992","개포로109길 9","20230220","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202301","16","85,800","12","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202301","16","85,800","12","1992","개포로109길 9","20230213","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","39.53","202301","17","97,000","9","1992","개포로109길 9","","중개거래","서울 강남구, 서울 종로구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202301","18","84,500","11","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202301","18","81,700","15","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","49.86","202301","18","110,000","7","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","39.53","202301","28","89,800","1","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202301","28","85,500","9","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202301","28","85,000","5","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202301","28","85,500","9","1992","개포로109길 9","20230322","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202301","30","86,000","11","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","39.53","202302","1","101,000","11","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202302","4","85,000","3","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","39.53","202302","4","100,250","11","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","49.86","202302","4","122,000","5","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202302","4","81,000","1","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202302","4","90,000","7","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","49.86","202302","5","120,000","12","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","39.53","202302","7","100,000","14","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","39.53","202302","7","95,000","9","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202302","9","90,000","5","1992","개포로109길 9","20230309","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","49.86","202302","10","117,000","11","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202302","11","89,700","4","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202302","14","89,900","3","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","39.53","202302","16","106,000","8","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","39.53","202302","17","105,000","11","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","39.53","202302","18","103,000","15","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","39.53","202302","18","103,000","15","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202302","18","90,000","14","1992","개포로109길 9","20230325","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","39.53","202302","21","103,000","5","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","39.53","202302","24","106,000","11","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","39.53","202302","24","103,000","5","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","39.53","202302","27","104,000","11","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","39.53","202303","1","113,000","14","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","39.53","202303","2","102,000","4","1992","개포로109길 9","","직거래","-"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202303","6","95,000","12","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","39.53","202303","11","108,000","4","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","39.53","202303","11","103,000","7","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202303","13","95,000","6","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","39.53","202303","14","93,000","1","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","49.86","202303","15","125,000","5","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","654","0654","0000","현대2","131.83","202302","18","284,000","3","1986","언주로 107","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","177","0177","0000","현대아파트3","163.85","202303","21","350,000","7","1986","개포로 409","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","105","0105","0000","동현아파트1~6","119.67","202302","6","209,000","1","1985","언주로146길 18","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","105","0105","0000","동현아파트1~6","119.67","202302","6","209,000","1","1985","언주로146길 18","20230306","중개거래","서울 강남구"
"서울특별시 강남구 논현동","216-1","0216","0001","두영","82.6","202302","25","90,000","1","2004","논현로124길 8","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","22","0022","0000","신동아(22)","114.34","202303","7","220,000","5","1997","강남대로146길 28","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","22","0022","0000","신동아(22)","35.73","202303","31","90,000","9","1997","강남대로146길 28","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","103","0103","0000","쌍용","59.91","202302","23","95,000","8","1996","도산대로50길 43","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","103","0103","0000","쌍용","84.87","202302","28","105,000","3","1996","도산대로50길 43","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","276-1","0276","0001","아크로힐스논현","113.087","202302","11","281,000","7","2014","언주로 604","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","44-8","0044","0008","지고하임(101동)","80.4","202302","10","85,000","2","2003","학동로9길 21","","직거래","-"
"서울특별시 강남구 논현동","221-7","0221","0007","한양수자인어반게이트","16.2","202302","27","21,700","7","2013","봉은사로29길 35","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","221-7","0221","0007","한양수자인어반게이트","16.2","202303","12","19,800","4","2013","봉은사로29길 35","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","221-7","0221","0007","한양수자인어반게이트","16.2","202303","15","23,800","9","2013","봉은사로29길 35","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","221-7","0221","0007","한양수자인어반게이트","16.2","202303","28","21,500","4","2013","봉은사로29길 35","","직거래","-"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","84.81","202301","13","245,000","3","1983","선릉로 120","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","84.81","202301","19","260,000","9","1983","선릉로 120","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","84.81","202302","15","255,000","5","1983","선릉로 120","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","158.54","202303","17","382,000","2","1983","선릉로 120","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","500","0500","0000","개포우성2","84.69","202302","11","247,000","8","1984","선릉로 120","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","500","0500","0000","개포우성2","127.78","202303","16","383,000","13","1984","선릉로 120","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","500","0500","0000","개포우성2","127.78","202303","17","374,000","11","1984","선릉로 120","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-26","0891","0026","대우아이빌멤버스(891-26)","35.796","202303","17","35,500","10","2003","삼성로85길 42","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-23","0891","0023","대우아이빌명문가(891-23)","35.72","202302","23","33,500","8","2004","선릉로90길 56","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-23","0891","0023","대우아이빌명문가(891-23)","33.06","202304","1","28,000","8","2004","선릉로90길 56","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","1029","1029","0000","대치SKVIEW","93.4","202303","9","298,000","7","2017","삼성로51길 25","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","1014-3","1014","0003","대치삼성","84.58","202303","8","210,000","24","2000","도곡로78길 22","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","888","0888","0000","대치아이파크","149.78","202301","17","370,000","3","2008","선릉로 222","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","888","0888","0000","대치아이파크","59.96","202302","5","200,000","15","2008","선릉로 222","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","974","0974","0000","대치현대","85","202301","31","205,000","1","1999","삼성로64길 5","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","1027","1027","0000","래미안대치팰리스","84.99","202301","21","298,000","20","2015","삼성로51길 37","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","1027","1027","0000","래미안대치팰리스","84.97","202302","14","282,000","18","2015","삼성로51길 37","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","506","0506","0000","선경1차(1동-7동)","136.68","202303","18","340,000","1","1983","삼성로 151","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","506","0506","0000","선경2차(8동-12동)","127.75","202304","5","377,000","14","1985","삼성로 151","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","65","0065","0000","쌍용대치2","120.76","202302","11","287,000","7","1983","영동대로 220","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","66","0066","0000","쌍용대치아파트1동,2동,3동,5동,6동","128.03","202303","29","260,000","5","1983","영동대로 210","","중개거래","서울 강남구, 서울 송파구"
"서울특별시 강남구 대치동","316","0316","0000","은마","76.79","202301","3","186,000","12","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","76.79","202301","13","185,000","4","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","76.79","202301","16","179,500","2","1979","삼성로 212","","중개거래","서울 강남구, 서울 송파구"
"서울특별시 강남구 대치동","316","0316","0000","은마","84.43","202301","19","215,000","3","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","84.43","202302","2","222,000","7","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","76.79","202302","3","195,000","3","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","84.43","202302","4","213,000","1","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","76.79","202302","7","188,000","2","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","84.43","202302","8","222,000","4","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","76.79","202302","9","189,500","4","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","84.43","202302","10","227,500","14","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","76.79","202302","10","183,000","3","1979","삼성로 212","","직거래","-"
"서울특별시 강남구 대치동","316","0316","0000","은마","76.79","202302","16","201,000","11","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","76.79","202302","16","201,000","11","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","84.43","202302","16","224,500","8","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","76.79","202302","17","199,000","4","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","76.79","202302","18","200,000","6","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","76.79","202302","21","193,000","2","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","76.79","202302","21","203,000","12","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","84.43","202302","23","226,800","8","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","76.79","202302","28","203,000","11","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","76.79","202303","1","202,000","5","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","84.43","202303","3","228,000","10","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","84.43","202303","15","228,500","4","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","76.79","202303","15","196,500","1","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","76.79","202303","16","204,000","12","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","84.43","202303","20","240,000","12","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","84.43","202303","25","238,000","9","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","76.79","202303","29","193,000","1","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","76.79","202303","30","204,000","3","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","76.79","202304","5","207,000","7","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-6","0891","0006","테헤란로대우아이빌(891-6)","29.02","202301","30","34,500","16","2004","테헤란로 428","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-6","0891","0006","테헤란로대우아이빌(891-6)","35.51","202302","25","38,000","7","2004","테헤란로 428","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-6","0891","0006","테헤란로대우아이빌(891-6)","33.11","202303","10","39,500","14","2004","테헤란로 428","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","511","0511","0000","한보미도맨션1","128.01","202302","17","338,000","13","1983","삼성로 150","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","511","0511","0000","한보미도맨션1","84.48","202302","22","245,000","2","1983","삼성로 150","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","511","0511","0000","한보미도맨션1","84.48","202302","28","235,000","3","1983","삼성로 150","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","511","0511","0000","한보미도맨션1","84.48","202303","10","250,000","13","1983","삼성로 150","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","511","0511","0000","한보미도맨션1","128.01","202303","16","318,000","2","1983","삼성로 150","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","511","0511","0000","한보미도맨션1","128.01","202303","18","330,000","9","1983","삼성로 150","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","511","0511","0000","한보미도맨션2","126.33","202301","5","300,000","3","1985","삼성로 150","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","511","0511","0000","한보미도맨션2","115.05","202301","27","285,000","11","1985","삼성로 150","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","511","0511","0000","한보미도맨션2","126.33","202301","30","317,500","4","1985","삼성로 150","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","511","0511","0000","한보미도맨션2","126.33","202301","31","310,000","4","1985","삼성로 150","","중개거래","경기 과천시, 서울 강남구"
"서울특별시 강남구 대치동","511","0511","0000","한보미도맨션2","115.05","202302","8","279,000","3","1985","삼성로 150","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","511","0511","0000","한보미도맨션2","115.05","202302","23","304,000","10","1985","삼성로 150","","중개거래","서울 강남구"
